access_time,failed_logins,file_changes,data_exfiltrated,unusual_access_pattern,label
2024-11-30 14:56:03.561400,1,12,3.2,0,0
2024-11-09 10:08:03.561400,1,2,0.83,0,0
2025-01-28 03:29:03.561400,1,12,0.91,0,0
2025-01-15 17:49:03.561400,2,49,7.97,0,1
2024-08-30 20:49:03.561400,4,40,6.07,0,0
2024-09-09 00:19:03.561400,2,33,3.53,0,0
2024-12-15 23:45:03.561400,3,27,1.83,0,0
2024-10-23 03:17:03.561400,2,39,3.09,1,1
2024-09-07 11:09:03.561400,3,33,5.06,0,0
2024-09-01 18:19:03.561400,3,31,10.57,1,1
2024-08-06 05:33:03.561400,0,22,4.06,1,1
2024-10-26 21:16:03.561400,1,23,1.62,0,0
2024-12-16 22:29:03.561400,2,0,0.22,1,1
2024-12-20 09:20:03.561400,3,23,0.96,0,0
2024-11-05 08:12:03.561400,0,2,5.25,0,0
2024-10-29 19:40:03.561400,1,16,0.87,1,1
2024-12-06 22:27:03.561400,4,6,3.28,0,0
2024-11-07 02:55:03.561400,2,9,6.0,0,0
2025-01-03 06:15:03.561400,1,18,1.84,0,0
2024-08-31 21:09:03.561400,1,23,5.53,0,0
2024-11-26 11:56:03.561400,1,8,4.35,0,0
2024-08-14 03:51:03.561400,3,49,2.89,0,1
2024-09-16 09:43:03.561400,1,14,11.38,0,1
2024-11-02 05:57:03.561400,2,48,5.89,1,1
2024-08-13 05:51:03.561400,5,21,2.24,0,0
2024-08-31 07:05:03.561400,0,16,8.15,0,0
2024-11-05 22:38:03.561400,3,18,6.7,0,0
2024-08-23 02:19:03.561400,2,8,7.84,0,0
2024-09-18 05:50:03.561400,1,37,5.12,0,0
2024-10-16 00:13:03.561400,1,18,2.39,0,0
2024-12-09 18:08:03.561400,3,7,2.14,0,0
2024-08-20 04:27:03.561400,1,5,5.31,1,1
2024-08-10 06:37:03.561400,1,48,0.7,0,1
2024-08-25 15:40:03.561400,1,37,8.57,0,0
2024-12-28 01:20:03.561400,2,44,2.31,0,1
2024-10-22 07:34:03.561400,1,20,4.98,1,1
2024-09-09 17:41:03.561400,2,28,3.46,0,0
2024-10-05 08:20:03.561400,3,33,3.66,0,0
2024-10-31 23:23:03.561400,2,11,6.7,0,0
2024-08-28 21:47:03.561400,3,38,4.93,1,1
2024-09-27 04:18:03.561400,2,31,1.44,0,0
2024-12-28 17:32:03.561400,1,5,0.39,1,1
2024-10-29 08:09:03.561400,2,16,9.17,0,0
2025-01-09 09:11:03.561400,3,31,10.81,1,1
2025-01-01 06:08:03.561400,2,7,0.9,0,0
2024-12-17 10:52:03.561400,0,37,1.85,0,0
2024-08-12 01:30:03.561400,3,28,1.66,0,0
2024-08-21 11:43:03.561400,1,30,13.86,0,1
2024-10-18 11:51:03.561400,1,18,1.15,0,0
2024-12-22 11:49:03.561400,4,8,0.91,1,1
2025-01-10 12:55:03.561400,3,27,1.0,1,1
2024-10-22 02:17:03.561400,3,47,6.54,0,1
2024-11-09 02:27:03.561400,2,49,10.95,0,1
2024-12-28 13:06:03.561400,1,38,2.5,1,1
2024-11-22 09:43:03.561400,1,39,0.73,0,0
2024-12-10 06:29:03.561400,0,30,4.41,1,1
2024-12-31 01:45:03.561400,4,18,1.18,1,1
2025-01-27 05:50:03.561400,3,32,0.33,0,0
2024-10-12 01:31:03.561400,0,25,10.87,0,1
2024-11-08 06:27:03.561400,0,44,10.23,0,1
2024-10-20 12:34:03.561400,6,0,18.63,1,1
2024-10-06 15:07:03.561400,2,10,3.21,1,1
2024-10-27 21:51:03.561400,6,1,1.74,0,1
2024-10-26 05:01:03.561400,0,34,7.34,0,0
2024-11-03 14:43:03.561400,2,12,1.0,0,0
2025-01-02 22:11:03.561400,0,38,1.39,1,1
2025-01-03 12:14:03.561400,1,33,1.48,0,0
2024-10-28 10:54:03.561400,6,33,15.14,0,1
2024-08-20 17:04:03.561400,1,34,6.54,1,1
2024-12-08 15:13:03.561400,2,31,0.72,1,1
2025-01-27 13:43:03.561400,1,44,0.49,0,1
2025-01-21 19:15:03.561400,1,11,9.25,0,0
2024-09-08 04:20:03.561400,4,32,8.1,0,0
2025-01-24 01:15:03.561400,5,17,5.56,0,0
2024-10-28 05:41:03.561400,3,4,1.09,0,0
2024-10-17 19:04:03.561400,1,18,3.27,0,0
2024-12-11 03:45:03.561400,2,30,4.62,1,1
2024-10-20 07:32:03.561400,3,26,13.45,1,1
2024-10-04 12:24:03.561400,3,41,0.93,1,1
2024-11-16 01:38:03.561400,3,37,3.62,0,0
2024-12-29 06:33:03.561400,3,49,0.86,0,1
2024-10-16 23:23:03.561400,2,14,2.93,0,0
2024-12-23 09:47:03.561400,3,45,1.12,0,1
2024-12-12 09:21:03.561400,5,47,9.05,0,1
2024-12-20 03:31:03.561400,0,3,1.47,0,0
2025-01-24 08:47:03.561400,1,18,2.7,0,0
2025-01-25 08:01:03.561400,3,20,2.62,0,0
2024-11-26 23:04:03.561400,1,39,10.06,0,1
2024-12-12 05:37:03.561400,0,0,7.09,0,0
2024-09-16 22:28:03.561400,1,19,0.3,0,0
2024-12-30 05:31:03.561400,3,21,0.35,0,0
2024-09-25 20:15:03.561400,3,12,4.01,0,0
2024-10-08 07:51:03.561400,3,40,2.79,0,0
2024-10-25 06:50:03.561400,2,0,1.61,0,0
2024-11-18 22:56:03.561400,2,14,7.87,0,0
2024-09-03 17:10:03.561400,2,14,0.69,0,0
2024-10-19 07:10:03.561400,3,13,18.26,0,1
2024-09-17 22:09:03.561400,2,4,0.12,0,0
2024-12-03 00:34:03.561400,1,48,0.63,1,1
2024-12-07 13:17:03.561400,2,5,1.86,0,0
2024-10-19 12:41:03.561400,3,40,3.56,0,0
2024-08-06 07:38:03.561400,1,30,1.22,0,0
2025-01-08 10:40:03.561400,3,25,6.66,0,0
2024-10-09 14:24:03.561400,1,24,2.21,0,0
2025-01-20 09:52:03.561400,1,48,0.2,0,1
2024-12-21 12:00:03.561400,0,38,10.51,0,1
2024-08-22 11:04:03.561400,1,39,14.4,1,1
2024-12-07 10:42:03.561400,1,14,4.82,1,1
2024-12-03 06:58:03.561400,0,5,8.21,0,0
2024-11-18 15:11:03.561400,0,0,0.65,0,0
2024-08-16 23:32:03.561400,1,40,1.57,0,0
2024-08-22 13:50:03.561400,1,6,1.97,0,0
2024-09-26 01:31:03.561400,2,3,16.19,0,1
2024-11-14 09:04:03.561400,0,0,3.59,0,0
2024-11-18 17:33:03.561400,2,40,0.04,0,0
2024-09-04 04:27:03.561400,0,1,2.39,0,0
2024-10-30 08:02:03.561400,2,47,0.04,0,1
2024-08-20 23:01:03.561400,4,33,1.36,0,0
2024-11-24 08:37:03.561400,0,34,3.03,0,0
2024-11-01 14:21:03.561400,1,45,1.95,0,1
2024-12-19 21:19:03.561400,3,12,0.17,0,0
2024-12-16 02:10:03.561400,3,16,0.62,0,0
2024-11-08 04:13:03.561400,0,9,4.0,0,0
2024-10-07 21:12:03.561400,1,2,5.95,1,1
2024-11-01 07:13:03.561400,3,3,2.59,0,0
2024-09-11 15:41:03.561400,1,24,6.57,0,0
2024-11-10 01:11:03.561400,4,36,0.89,0,0
2025-01-15 23:07:03.561400,0,42,0.65,0,1
2024-12-13 18:50:03.561400,2,37,9.15,1,1
2024-08-19 16:44:03.561400,0,28,2.07,0,0
2024-11-07 07:27:03.561400,1,0,2.83,0,0
2025-01-08 08:13:03.561400,2,29,14.74,0,1
2024-10-26 03:46:03.561400,0,38,2.76,0,0
2024-08-07 01:13:03.561400,4,9,0.02,0,0
2025-01-10 04:21:03.561400,2,28,13.9,0,1
2025-01-10 14:15:03.561400,2,43,0.07,0,1
2024-08-13 20:30:03.561400,0,31,5.43,0,0
2024-11-01 02:24:03.561400,2,43,1.95,0,1
2024-12-19 10:36:03.561400,2,0,3.18,0,0
2024-11-27 14:43:03.561400,0,40,3.96,0,0
2024-09-24 12:15:03.561400,0,16,2.63,0,0
2024-10-08 10:02:03.561400,1,11,7.44,0,0
2024-09-15 20:52:03.561400,3,1,13.35,0,1
2025-01-09 00:36:03.561400,1,8,0.45,1,1
2025-01-23 03:40:03.561400,4,11,8.05,0,0
2024-09-21 06:05:03.561400,0,24,0.69,0,0
2024-10-25 16:56:03.561400,2,35,0.42,1,1
2024-12-11 05:41:03.561400,3,43,15.6,0,1
2024-09-08 20:50:03.561400,3,49,3.36,0,1
2024-12-05 19:33:03.561400,2,34,0.83,0,0
2024-08-31 18:38:03.561400,0,21,4.22,0,0
2024-12-16 12:40:03.561400,2,32,1.53,0,0
2024-12-31 06:08:03.561400,1,49,3.12,0,1
2024-09-10 01:38:03.561400,3,20,4.9,1,1
2024-09-18 19:23:03.561400,3,39,10.17,0,1
2025-01-18 19:50:03.561400,4,21,0.02,0,0
2025-01-04 14:31:03.561400,2,27,1.2,0,0
2024-11-19 21:41:03.561400,1,3,0.51,0,0
2024-09-20 02:17:03.561400,2,25,0.51,0,0
2025-01-01 22:13:03.561400,1,22,14.57,0,1
2025-01-29 21:16:03.561400,1,47,13.75,0,1
2024-10-08 05:09:03.561400,3,48,6.92,0,1
2025-01-22 14:23:03.561400,1,22,5.15,0,0
2024-08-23 00:21:03.561400,1,40,9.42,0,0
2025-01-07 21:26:03.561400,4,7,0.3,0,0
2025-01-14 00:38:03.561400,3,31,0.64,1,1
2024-10-21 19:44:03.561400,3,38,1.91,0,0
2024-10-21 08:26:03.561400,1,43,8.93,0,1
2024-11-04 01:31:03.561400,4,0,3.2,0,0
2024-10-06 00:09:03.561400,2,29,3.5,0,0
2024-11-30 07:00:03.561400,2,27,1.3,0,0
2024-08-09 13:57:03.561400,1,16,5.23,1,1
2024-09-12 02:45:03.561400,4,22,10.94,0,1
2025-01-30 05:11:03.561400,1,37,2.0,0,0
2024-12-05 21:54:03.561400,4,23,4.83,0,0
2025-01-25 18:14:03.561400,3,21,2.02,0,0
2025-01-02 22:49:03.561400,2,4,7.87,0,0
2024-09-08 18:24:03.561400,1,24,3.22,0,0
2024-10-30 17:02:03.561400,1,6,2.07,0,0
2025-01-14 18:12:03.561400,1,21,2.72,1,1
2024-11-21 17:46:03.561400,5,43,0.48,1,1
2025-01-03 04:52:03.561400,2,36,10.05,1,1
2024-12-17 17:31:03.561400,0,33,15.86,0,1
2024-09-22 09:12:03.561400,2,35,3.24,0,0
2024-12-10 00:59:03.561400,6,48,1.25,0,1
2024-10-11 20:31:03.561400,0,39,5.46,0,0
2024-10-19 15:56:03.561400,3,19,3.01,0,0
2024-10-26 00:31:03.561400,0,36,1.45,1,1
2024-11-12 06:45:03.561400,1,16,0.2,0,0
2024-08-22 01:07:03.561400,1,3,11.02,0,1
2024-11-29 06:34:03.561400,0,49,7.97,0,1
2024-12-20 14:20:03.561400,3,17,8.83,0,0
2024-10-17 06:33:03.561400,2,27,2.9,0,0
2024-12-09 15:20:03.561400,2,49,7.0,0,1
2024-10-17 02:46:03.561400,1,15,4.35,0,0
2024-12-19 02:50:03.561400,2,42,2.35,1,1
2024-10-05 06:50:03.561400,3,7,9.25,1,1
2024-08-28 13:03:03.561400,2,43,33.45,1,1
2024-10-19 21:23:03.561400,0,17,11.48,0,1
2024-09-29 10:28:03.561400,4,49,7.48,0,1
2024-08-20 04:36:03.561400,2,28,6.88,1,1
2024-11-20 23:01:03.561400,2,39,5.25,1,1
2024-10-08 07:09:03.561400,3,15,9.61,0,0
2024-12-02 17:04:03.561400,1,29,3.4,0,0
2024-10-03 07:27:03.561400,3,48,1.0,0,1
2025-01-18 18:50:03.561400,0,33,7.31,1,1
2024-09-09 07:48:03.561400,0,29,12.6,0,1
2024-08-15 08:33:03.561400,2,20,2.09,0,0
2024-10-07 06:31:03.561400,5,21,7.64,1,1
2024-09-08 00:56:03.561400,1,46,1.6,0,1
2024-11-05 10:08:03.561400,3,24,14.29,0,1
2024-09-12 12:15:03.561400,1,21,5.75,1,1
2024-10-21 14:32:03.561400,0,27,4.21,0,0
2024-12-23 12:39:03.561400,4,38,7.57,0,0
2024-10-29 17:34:03.561400,1,32,8.39,0,0
2024-08-28 13:59:03.561400,3,1,11.15,0,1
2025-01-08 22:59:03.561400,0,3,11.57,0,1
2025-01-16 12:39:03.561400,1,15,0.27,0,0
2024-11-11 09:28:03.561400,0,11,0.66,0,0
2024-11-05 11:48:03.561400,3,16,8.75,0,0
2024-12-20 04:27:03.561400,1,35,14.6,0,1
2024-12-31 15:20:03.561400,1,15,1.84,0,0
2024-11-09 11:57:03.561400,3,38,0.04,0,0
2024-10-02 09:41:03.561400,2,22,1.95,0,0
2024-12-31 17:16:03.561400,6,7,2.41,0,1
2024-09-22 23:00:03.561400,4,8,7.16,0,0
2025-01-04 00:11:03.561400,1,13,0.24,0,0
2024-10-13 08:54:03.561400,1,8,1.2,0,0
2024-08-12 03:56:03.561400,3,46,11.22,0,1
2024-08-30 11:49:03.561400,2,25,0.84,0,0
2024-11-04 17:19:03.561400,1,35,7.12,0,0
2024-08-10 02:40:03.561400,2,2,2.24,1,1
2024-12-24 14:53:03.561400,0,9,5.43,0,0
2024-08-31 19:09:03.561400,2,24,0.38,0,0
2024-10-21 14:46:03.561400,4,3,1.69,0,0
2024-09-06 06:19:03.561400,3,29,2.77,0,0
2024-08-19 16:03:03.561400,2,49,9.73,0,1
2024-10-03 03:46:03.561400,1,10,4.14,0,0
2024-12-15 15:10:03.561400,1,18,0.23,0,0
2024-08-25 11:51:03.561400,0,49,8.09,0,1
2024-11-15 00:43:03.561400,0,12,0.28,0,0
2024-09-05 23:28:03.561400,3,35,13.62,0,1
2024-10-27 11:00:03.561400,0,2,1.19,1,1
2024-10-10 12:46:03.561400,3,47,3.35,0,1
2025-01-05 11:32:03.561400,2,13,0.38,0,0
2024-10-18 02:37:03.561400,0,9,4.12,0,0
2024-11-14 20:08:03.561400,4,37,3.44,1,1
2024-12-27 04:48:03.561400,0,39,2.64,0,0
2024-10-20 20:37:03.561400,2,26,0.18,0,0
2024-11-04 21:26:03.561400,2,23,10.56,0,1
2024-11-25 10:13:03.561400,3,15,8.11,0,0
2024-10-15 11:32:03.561400,5,9,5.01,1,1
2024-10-21 20:18:03.561400,1,26,4.25,0,0
2025-01-30 09:20:03.561400,0,6,5.94,0,0
2024-08-18 23:37:03.561400,2,27,0.78,0,0
2024-10-25 06:01:03.561400,1,25,13.49,0,1
2024-08-25 04:20:03.561400,3,17,1.68,0,0
2024-12-16 03:11:03.561400,5,12,5.34,0,0
2024-12-23 22:51:03.561400,2,7,4.67,0,0
2024-12-03 08:13:03.561400,1,26,5.06,0,0
2024-08-09 14:05:03.561400,2,13,10.56,0,1
2024-10-25 07:03:03.561400,1,40,1.75,0,0
2024-12-03 01:59:03.561400,1,43,6.91,0,1
2024-08-14 23:16:03.561400,1,5,4.56,0,0
2024-12-09 04:04:03.561400,3,19,0.4,1,1
2024-09-19 18:15:03.561400,2,27,2.67,0,0
2024-08-07 13:44:03.561400,1,22,9.1,1,1
2024-08-08 19:40:03.561400,0,11,1.89,0,0
2024-10-27 09:30:03.561400,1,23,3.29,0,0
2024-10-30 23:56:03.561400,1,43,3.35,0,1
2024-09-14 10:45:03.561400,0,21,4.81,0,0
2024-08-12 21:48:03.561400,2,25,10.77,0,1
2024-11-23 19:36:03.561400,1,21,0.95,0,0
2024-11-12 09:51:03.561400,1,6,3.51,1,1
2024-10-24 05:41:03.561400,2,14,2.76,0,0
2024-08-27 03:56:03.561400,2,47,1.75,0,1
2024-08-08 07:04:03.561400,3,29,12.6,0,1
2025-01-17 10:18:03.561400,4,3,0.04,0,0
2024-12-10 12:28:03.561400,1,5,0.65,1,1
2024-12-16 00:24:03.561400,2,47,6.61,0,1
2025-01-27 23:30:03.561400,0,46,1.53,0,1
2024-12-07 01:11:03.561400,2,1,6.42,1,1
2024-10-30 23:48:03.561400,2,30,8.93,0,0
2024-11-05 05:54:03.561400,2,23,1.47,0,0
2024-08-31 02:05:03.561400,2,34,1.07,1,1
2024-12-30 10:15:03.561400,0,46,0.79,1,1
2024-11-04 23:57:03.561400,3,30,1.12,1,1
2025-01-20 13:53:03.561400,2,24,1.55,0,0
2024-12-21 00:54:03.561400,2,7,10.15,0,1
2024-12-06 02:12:03.561400,3,11,7.35,0,0
2024-08-19 06:42:03.561400,1,1,0.01,1,1
2024-10-26 04:06:03.561400,0,14,10.36,0,1
2024-09-27 06:30:03.561400,3,39,0.41,0,0
2024-08-06 10:34:03.561400,0,31,5.32,1,1
2025-01-30 01:11:03.561400,1,10,0.82,1,1
2024-12-15 22:12:03.561400,5,16,0.32,1,1
2024-09-08 05:53:03.561400,1,20,7.13,0,0
2024-10-21 10:21:03.561400,1,21,3.15,0,0
2024-10-08 20:24:03.561400,5,32,4.57,1,1
2024-10-06 03:17:03.561400,5,28,2.77,0,0
2024-08-31 03:52:03.561400,4,14,0.35,1,1
2024-08-20 15:33:03.561400,2,20,6.73,0,0
2025-01-25 05:38:03.561400,0,1,8.58,1,1
2024-10-06 22:17:03.561400,1,41,0.21,0,1
2025-01-02 18:28:03.561400,5,37,2.36,1,1
2024-11-06 05:44:03.561400,3,2,4.07,0,0
2024-09-14 07:56:03.561400,0,24,4.65,1,1
2024-11-19 00:36:03.561400,1,12,4.32,0,0
2024-11-01 14:36:03.561400,1,23,5.9,0,0
2024-12-05 13:31:03.561400,2,30,17.03,0,1
2025-01-11 13:59:03.561400,4,14,2.48,0,0
2024-10-03 11:01:03.561400,2,5,4.07,0,0
2024-09-22 05:56:03.561400,1,40,6.0,0,0
2024-09-04 01:09:03.561400,1,9,4.49,0,0
2025-01-29 16:52:03.561400,3,8,2.44,1,1
2024-12-22 03:28:03.561400,2,49,4.89,0,1
2024-10-18 01:35:03.561400,3,40,5.25,0,0
2024-12-01 19:35:03.561400,2,49,4.4,0,1
2024-12-05 02:02:03.561400,1,40,1.15,1,1
2024-08-18 05:15:03.561400,0,4,3.53,1,1
2024-11-15 13:46:03.561400,4,44,10.79,0,1
2024-11-08 06:10:03.561400,5,43,10.15,0,1
2024-10-24 06:26:03.561400,3,40,6.95,0,0
2024-12-28 23:06:03.561400,0,18,5.97,0,0
2024-09-06 07:38:03.561400,1,19,0.83,0,0
2024-11-05 20:33:03.561400,4,32,3.08,0,0
2024-12-25 01:27:03.561400,3,42,0.59,0,1
2024-09-26 08:58:03.561400,2,36,8.5,0,0
2024-11-07 13:32:03.561400,2,30,1.72,0,0
2024-11-17 04:15:03.561400,2,38,7.28,0,0
2024-08-25 19:11:03.561400,4,12,8.43,0,0
2024-09-07 17:42:03.561400,1,37,11.15,1,1
2024-12-07 02:01:03.561400,0,44,7.01,0,1
2024-09-10 23:30:03.561400,1,5,4.16,0,0
2024-10-11 10:13:03.561400,5,46,4.56,0,1
2024-12-01 02:27:03.561400,4,7,1.93,0,0
2024-10-18 01:40:03.561400,1,42,0.97,0,1
2024-11-07 08:37:03.561400,4,9,0.7,0,0
2025-01-08 04:57:03.561400,5,40,1.0,0,0
2024-10-08 03:44:03.561400,0,3,13.59,0,1
2024-12-01 18:41:03.561400,1,13,0.9,0,0
2024-12-25 05:40:03.561400,2,3,6.43,0,0
2024-09-05 04:39:03.561400,1,23,1.02,0,0
2024-12-12 22:32:03.561400,4,46,18.5,0,1
2024-10-14 22:31:03.561400,2,20,2.28,0,0
2024-10-19 13:41:03.561400,2,9,2.66,0,0
2024-10-17 01:08:03.561400,3,45,2.59,0,1
2024-12-24 16:21:03.561400,1,24,8.48,0,0
2024-12-12 16:48:03.561400,1,5,1.23,0,0
2024-10-29 15:28:03.561400,0,15,8.89,0,0
2024-11-16 09:06:03.561400,4,43,5.35,0,1
2024-09-03 15:29:03.561400,2,27,1.24,1,1
2024-10-01 01:54:03.561400,1,35,0.34,0,0
2024-08-29 14:17:03.561400,2,32,7.46,0,0
2024-09-03 16:10:03.561400,1,29,1.24,0,0
2024-12-06 05:59:03.561400,1,35,10.99,0,1
2024-11-26 03:12:03.561400,0,24,0.7,0,0
2024-09-17 08:13:03.561400,0,12,4.79,0,0
2024-08-27 22:33:03.561400,2,38,5.89,1,1
2024-11-16 11:08:03.561400,2,14,5.36,0,0
2024-08-06 19:45:03.561400,7,37,1.9,0,1
2024-10-10 15:17:03.561400,3,29,10.42,1,1
2024-11-03 16:18:03.561400,3,13,7.34,0,0
2024-12-04 21:13:03.561400,5,49,3.57,1,1
2024-10-23 12:19:03.561400,3,3,4.62,1,1
2025-01-24 07:35:03.561400,1,0,4.18,0,0
2024-12-19 11:12:03.561400,2,2,14.66,0,1
2024-12-11 03:17:03.561400,0,44,11.34,1,1
2024-10-29 13:44:03.561400,2,49,1.34,0,1
2024-09-19 02:11:03.561400,3,35,1.52,0,0
2024-11-10 18:09:03.561400,5,3,19.93,0,1
